timestamp,card_uid,raw_id,tornello_id,direzione,authorized,auth_message,relay_activated,card_data,auth_time_ms,event_type
2025-10-04T04:56:27.263490,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,1,access_attempt
2025-10-04T04:56:29.413019,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,1,access_attempt
2025-10-04T04:56:31.423447,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:33.432135,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:35.437084,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:37.437146,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:39.437384,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:41.466335,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:43.482011,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:45.490644,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:47.503727,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:49.516667,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:51.670080,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:53.682613,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:55.687740,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:57.695952,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:56:59.725870,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,10,access_attempt
2025-10-04T04:57:01.720682,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:03.865282,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:05.871311,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:07.886570,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:10.037643,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:12.047413,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:14.197366,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:16.201759,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:18.208534,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
